SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
2124/01,Broadcast engineers (professional),Broadcast engineer
5249/01,Broadcast and communications technicians,Broadcast engineer
2124/01,Broadcast engineers (professional),Broadcasting engineer
5249/01,Broadcast and communications technicians,Broadcasting engineer
5242/00,Telecoms and related network installers and repairers,Bsc engineer
5242/00,Telecoms and related network installers and repairers,Bss engineer
5242/00,Telecoms and related network installers and repairers,BT engineer
2121/01,Building and building services engineers,Building engineer
2121/01,Building and building services engineers,Building and civil engineer
5231/03,Heavy and large vehicle technicians,Bus engineer
5242/00,Telecoms and related network installers and repairers,Cable engineer
3120/02,BIM and CAD technicians,Cad engineer
5224/01,Calibration and precision instrument technicians,Calibration engineer
3417/99,"Photographers, audio-visual and broadcasting equipment operators n.e.c.",Video camera engineer
5221/99,Metal machining setters and setter-operators n.e.c.,Capstan engineer
5232/00,Vehicle body builders and repairers,Caravan engineer
5223/11,Textile machine technicians,Carding engineer
5223/03,Catering equipment technicians,Catering engineer
5245/00,Security system installers and repairers,CCTV engineer
2129/09,Materials engineers,Ceramics engineer
5250/00,"Skilled metal, electrical and electronic trades supervisors",Charge engineer
2123/02,Power systems engineers,Charge engineer
}}}}/}},}}}}/}},Chartered engineer
2122/01,Automotive engineers (professional),Chassis engineer
2125/01,Chemical engineers,Chemical engineer
2122/99,Mechanical engineers n.e.c.,Area chief engineer
3512/02,Marine engineers,Chief engineer
3512/02,Marine engineers,Chief engineer
2122/99,Mechanical engineers n.e.c.,Chief engineer
2123/02,Power systems engineers,Chief engineer
8232/00,Marine and waterways transport operatives,Chief engineer
2129/05,Energy engineers ,Chief engineer
3512/02,Marine engineers,Chief engineer
}}}}/}},}}}}/}},Chief engineer
5241/03,Installation and maintenance electricians,Cinema engineer
5241/03,Installation and maintenance electricians,Circuit engineer
2121/99,Civil engineers n.e.c.,City engineer
2455/01,Construction project and contract managers,Consulting civil engineer
2121/99,Civil engineers n.e.c.,Civil engineer
5319/99,Construction and building trades n.e.c.,Civil engineer
2129/04,Clinical Engineers,Clinical engineer
2133/99,"IT business analysts, architects and systems designers n.e.c.",Cloud engineer
5221/01,Computer numerical control (CNC) machine setters and setter-operators,CNC engineer
2121/03,Mining engineers ,Colliery engineer
3311/01,Non-commissioned Army officers and others ranks ,Combat engineer
2129/05,Energy engineers ,Combustion engineer
3552/00,Business sales executives,Commercial engineer
}}}}/}},}}}}/}},Commissioning engineer
3113/99,Engineering technicians n.e.c.,Commissioning engineer
2124/02,Telecommunications engineers (professional),Radio communication engineer
2124/02,Telecommunications engineers (professional),Communication engineer
5249/01,Broadcast and communications technicians,Communication engineer
2124/02,Telecommunications engineers (professional),Communications engineer
5249/01,Broadcast and communications technicians,Communications engineer
2133/99,"IT business analysts, architects and systems designers n.e.c.",Computer engineer
5244/00,Computer system and equipment installers and servicers,Computer engineer
2129/08,Heating and ventilating engineers (professional),Air conditioning engineer
5225/00,Air-conditioning and refrigeration installers and repairers,Air conditioning engineer
5319/04,Industrial climbers,Lightning conductor engineer
5244/00,Computer system and equipment installers and servicers,Configuration engineer
2121/01,Building and building services engineers,Construction engineer
5319/99,Construction and building trades n.e.c.,Construction engineer
2121/01,Building and building services engineers,Constructional engineer
5311/00,Steel erectors ,Constructional engineer
}}}}/}},}}}}/}},Consultant engineer
3552/00,Business sales executives,Consulting engineer
}}}}/}},}}}}/}},Consulting engineer
3552/00,Business sales executives,Consumers engineer
}}}}/}},}}}}/}},Contract engineer
3113/99,Engineering technicians n.e.c.,Contract engineer
2121/99,Civil engineers n.e.c.,Contractor's engineer
}}}}/}},}}}}/}},Contracts engineer
3113/99,Engineering technicians n.e.c.,Contracts engineer
2129/01,Acoustic engineers ,Noise control engineer
5319/99,Construction and building trades n.e.c.,Noise control engineer
5221/01,Computer numerical control (CNC) machine setters and setter-operators,Computer numerically control engineer
2125/03,Industrial and production engineers,Process control engineer
2125/03,Industrial and production engineers,Production control engineer
2481/03,Quality control engineers,Quality control engineer
2121/03,Mining engineers ,Strata control engineer
3417/99,"Photographers, audio-visual and broadcasting equipment operators n.e.c.",Vision control engineer
3120/99,"CAD, drawing and architectural technicians n.e.c.",Weight control engineer
2123/02,Power systems engineers,Control engineer
2125/02,Control and instrumentation engineers,Control and instrument engineer
2125/02,Control and instrumentation engineers,Control and instrumentation engineer
}}}}/}},}}}}/}},Coordinating engineer
5246/00,Electrical service and maintenance mechanics and repairers,Copier engineer
2129/99,Engineering professionals n.e.c.,Corrosion engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Corrosion engineer
3541/99,"Estimators, valuers and assessors n.e.c.",Cost engineer
3541/99,"Estimators, valuers and assessors n.e.c.",Costing engineer
2121/99,Civil engineers n.e.c.,County engineer
5223/06,Heavy plant maintenance technicians,Crane engineer
2129/08,Heating and ventilating engineers (professional),Cryogenic engineer
5244/00,Computer system and equipment installers and servicers,Customer engineer
5246/00,Electrical service and maintenance mechanics and repairers,Customer engineer
5223/02,Bicycle mechanics,Cycle engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Dairy engineer
2133/03,Data engineers,Big data engineer
5242/00,Telecoms and related network installers and repairers,Data engineer
2133/03,Data engineers,Data engineer
2129/11,Nuclear engineers ,Decommissioning engineer
2121/06,Water engineers (professional),Flood defence engineer
2121/99,Civil engineers n.e.c.,Demolition engineer
8159/06,Demolition operatives,Demolition engineer
3213/03,Dental technicians,Dental engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Depot engineer
2126/99,Aerospace engineers n.e.c.,Aerospace design engineer
3120/02,BIM and CAD technicians,Computer aided design engineer
2126/02,Aircraft engineers (professional),Aircraft design engineer
3120/02,BIM and CAD technicians,Computer assisted design engineer
2122/01,Automotive engineers (professional),Automotive design engineer
3120/02,BIM and CAD technicians,Cad design engineer
2133/99,"IT business analysts, architects and systems designers n.e.c.",Computer design engineer
2123/99,Electrical engineers n.e.c.,Electrical design engineer
2124/99,Electronics engineers n.e.c. ,Electronic design engineer
2124/99,Electronics engineers n.e.c. ,Electronics design engineer
2124/99,Electronics engineers n.e.c. ,Hardware design engineer
2121/05,Transportation engineers ,Highways design engineer
2122/03,Mechanical design engineers,Mechanical design engineer
2137/00,IT network professionals,Network design engineer
2134/03,Software developers,Software design engineer
2122/99,Mechanical engineers n.e.c.,Tool design engineer
2126/99,Aerospace engineers n.e.c.,Design engineer
2123/99,Electrical engineers n.e.c.,Design engineer
2124/99,Electronics engineers n.e.c. ,Design engineer
2122/03,Mechanical design engineers,Design engineer
2124/02,Telecommunications engineers (professional),Design engineer
2129/99,Engineering professionals n.e.c.,Design engineer
2129/99,Engineering professionals n.e.c.,Design and development engineer
2129/99,Engineering professionals n.e.c.,Design and test engineer
}}}}/}},}}}}/}},Designing engineer
3132/00,IT user support technicians,IT service desk engineer
3132/00,IT user support technicians,Desktop engineer
3552/00,Business sales executives,Business development engineer
2122/03,Mechanical design engineers,Mechanical development engineer
2129/99,Engineering professionals n.e.c.,Product development engineer
2134/03,Software developers,Software development engineer
2129/99,Engineering professionals n.e.c.,Development engineer
2139/01,DevOps engineers,Devops engineer
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Vehicles diesel engineer
2122/99,Mechanical engineers n.e.c.,Diesel engineer
