SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
5223/99,Metal working production and maintenance fitters n.e.c.,Ring frame fitter
5223/02,Bicycle mechanics,Frame fitter
5236/00,Rail and rolling stock builders and repairers,Frame fitter
5442/05,Picture framers,Frame fitter
5223/11,Textile machine technicians,Frame fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Furnace fitter
5411/99,Upholsterers n.e.c.,Furnishing fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Furniture fitter
5442/02,Furniture makers and fitters,Furniture fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Garage fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Gas fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Gasholder fitter
5317/03,Window fitters,Gasket fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Gate fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Gate and railings fitter
5224/01,Calibration and precision instrument technicians,Gauge fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Gear fitter
5223/99,Metal working production and maintenance fitters n.e.c.,General fitter
8145/02,Windscreen fitters,Glass fitter
8149/00,Assemblers and routine operatives n.e.c.,Glass fitter
5317/03,Window fitters,Glass fitter
5317/03,Window fitters,Double glazing fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Governor fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Grate fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Grindstone fitter
8142/01,Metal goods assemblers (excludes vehicles),Grip fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Below ground fitter
5223/05,Gunsmiths,Gun fitter
5442/99,Furniture makers and other craft woodworkers n.e.c.,Gymnastics fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Heating fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Heating and ventilation fitter
5412/99,Footwear and leather working trades n.e.c.,Heel fitter
5231/03,Heavy and large vehicle technicians,HGV fitter
5222/99,"Tool makers, tool fitters and markers-out n.e.c.",Tool hire fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Light house fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Power house fitter
5223/07,Hydraulic technicians,Hydraulic fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Industrial fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fuel injection fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Inspector fitter
5241/03,Installation and maintenance electricians,Electrical installation fitter
5242/00,Telecoms and related network installers and repairers,Installation fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Installation fitter
5234/00,Aircraft maintenance and related trades ,Aircraft instrument fitter
5449/07,"Musical instrument repairers, makers and tuners",Musical instrument fitter
5234/00,Aircraft maintenance and related trades ,Instrument fitter
5224/01,Calibration and precision instrument technicians,Instrument fitter
8159/08,Insulation engineers,Insulating fitter
8159/08,Insulation engineers,Insulation fitter
5249/99,Electrical and electronic trades n.e.c.,Interlocking fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Ironmonger's fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Ironmongery fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Ironwork fitter
5222/01,Tool fitters,Jig and tool fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Keg fitter
5316/01,Bedroom and kitchen fitters,Kitchen fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Kitchen and bathroom fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Knife fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Laboratory fitter
5241/03,Installation and maintenance electricians,Arc lamp fitter
5412/99,Footwear and leather working trades n.e.c.,Bespoke last fitter
3211/00,Dispensing opticians ,Contact lens fitter
5231/03,Heavy and large vehicle technicians,LGV fitter
5223/08,Lift technicians,Lift fitter
5241/03,Installation and maintenance electricians,Light fitter
3213/07,Orthotic and prosthetic technicians,Limb fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Brake lining fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Lino fitter
5322/01,Carpet and linoleum fitters,Lino fitter
5322/01,Carpet and linoleum fitters,Linoleum fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Linotype fitter
5236/00,Rail and rolling stock builders and repairers,Locking fitter
5236/00,Rail and rolling stock builders and repairers,Locomotive fitter
5223/11,Textile machine technicians,Loom fitter
5241/03,Installation and maintenance electricians,Machine fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Machine fitter
5241/03,Installation and maintenance electricians,Mains fitter
8159/09,Pipe layers (excludes pipe fitters),Mains fitter
5244/00,Computer system and equipment installers and servicers,Computer maintenance fitter
5246/00,Electrical service and maintenance mechanics and repairers,Electrical maintenance fitter
8145/01,Tyre technicians,Tyre maintenance fitter
5234/00,Aircraft maintenance and related trades ,Maintenance fitter
5319/99,Construction and building trades n.e.c.,Maintenance fitter
5246/00,Electrical service and maintenance mechanics and repairers,Maintenance fitter
5236/00,Rail and rolling stock builders and repairers,Maintenance fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Maintenance fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Maintenance fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Maintenance fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Maintenance fitter
5243/00,"TV, video and audio servicers and repairers",Maintenance fitter
5242/00,Telecoms and related network installers and repairers,Maintenance fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Maintenance fitter
5235/00,Boat and ship builders and repairers,Marine fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Mattress fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Vehicle mechanical fitter
5234/00,Aircraft maintenance and related trades ,Mechanical fitter
5236/00,Rail and rolling stock builders and repairers,Mechanical fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Mechanical fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Mechanical fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Mechanical fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Metal fitter
5241/99,Electricians and electrical fitters n.e.c.,Meter fitter
5224/99,Precision instrument makers and repairers n.e.c.,Meter fitter
5241/02,Electro-mechanical technicians,Starter motor fitter
5241/02,Electro-mechanical technicians,Motor fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Motor fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Motor fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Bottle mould fitter
8115/99,Metal making and treating process operatives n.e.c.,Mould fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Boiler mount fitter
8149/00,Assemblers and routine operatives n.e.c.,Mouthpiece fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Mule fitter
8112/00,Textile process operatives,Net fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Nicker and turner's fitter
5316/99,Carpenters and joiners n.e.c.,Office fitter
5224/04,Optical technicians,Optical fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Ordnance fitter
5449/07,"Musical instrument repairers, makers and tuners",Organ fitter
5223/03,Catering equipment technicians,Oven fitter
5442/99,Furniture makers and other craft woodworkers n.e.c.,Overmantel fitter
5241/05,Solar panel installers,Solar panel fitter
8142/01,Metal goods assemblers (excludes vehicles),Paragon fitter
8149/00,Assemblers and routine operatives n.e.c.,Paste fitter
5222/01,Tool fitters,Pattern fitter
8149/00,Assemblers and routine operatives n.e.c.,Fountain pen fitter
5449/07,"Musical instrument repairers, makers and tuners",Piano fitter
5241/03,Installation and maintenance electricians,Pillar fitter
5214/00,Pipe fitters,Boiler pipe fitter
8149/00,Assemblers and routine operatives n.e.c.,Briar pipe fitter
8159/09,Pipe layers (excludes pipe fitters),Drain pipe fitter
5214/00,Pipe fitters,Pipe fitter
5223/06,Heavy plant maintenance technicians,Plant fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Plate fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Potter's fitter
5224/01,Calibration and precision instrument technicians,Precision fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Precision fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Printing fitter
5241/03,Installation and maintenance electricians,Production fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Production fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Psv fitter
5223/10,Pump technicians,Pump fitter
5249/99,Electrical and electronic trades n.e.c.,Radar fitter
5243/00,"TV, video and audio servicers and repairers",Radio fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Range fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Rectification fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Engine repair fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Research fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Retort fitter
5222/01,Tool fitters,Tool room fitter
8151/99,"Scaffolders, stagers and riggers n.e.c.",Rope and belt fitter
8151/99,"Scaffolders, stagers and riggers n.e.c.",Wire ropery fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Rough fitter
8142/02,Vehicle and vehicle part assemblers,Saddle fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Safe fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Sanitary fitter
5224/01,Calibration and precision instrument technicians,Scale fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Scissors fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Screen fitter
8145/02,Windscreen fitters,Screen fitter
8139/99,Plant and machine operatives n.e.c.,Scythe fitter
8142/01,Metal goods assemblers (excludes vehicles),Semi-skilled fitter
5234/00,Aircraft maintenance and related trades ,Service fitter
5234/00,Aircraft maintenance and related trades ,Service fitter
5224/01,Calibration and precision instrument technicians,Service fitter
5246/00,Electrical service and maintenance mechanics and repairers,Service fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Service fitter
5235/00,Boat and ship builders and repairers,Ship fitter
7111/00,Sales and retail and assistants,Shoe fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Machine shop fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Shop fitter
5316/99,Carpenters and joiners n.e.c.,Shop fitter
5316/99,Carpenters and joiners n.e.c.,Shop and office fitter
5241/03,Installation and maintenance electricians,Sign fitter
8159/10,Sign fitters (excludes electrical fitters),Sign fitter
5249/03,Signal workers,Railway signal fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Skip fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Speed fitter
5224/01,Calibration and precision instrument technicians,Speedometer fitter
5412/99,Footwear and leather working trades n.e.c.,Elastic spring fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Spring fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Spring fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Sprinkler fitter
5316/99,Carpenters and joiners n.e.c.,Stand fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Steam fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Steam and hot water fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Steel fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Steelyard fitter
8144/00,"Weighers, graders and sorters ",Stock fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Stove fitter
8142/01,Metal goods assemblers (excludes vehicles),Stove fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Structural fitter
8159/02,Blind fitters,Sun-blind fitter
5250/00,"Skilled metal, electrical and electronic trades supervisors",Superintendent fitter
5234/00,Aircraft maintenance and related trades ,Aircraft support fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Surface fitter
5241/03,Installation and maintenance electricians,Switch fitter
5241/03,Installation and maintenance electricians,Switchboard fitter
5241/03,Installation and maintenance electricians,Switchgear fitter
5449/99,Other skilled trades n.e.c.,Billiard table fitter
5413/03,Fitters and alterations assistants,Tailor's fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Tank fitter
5224/01,Calibration and precision instrument technicians,Taximeter fitter
5224/01,Calibration and precision instrument technicians,Ship's telegraph fitter
5249/01,Broadcast and communications technicians,Telegraph fitter
5242/00,Telecoms and related network installers and repairers,Telephone fitter
5243/00,"TV, video and audio servicers and repairers",Television fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Tender fitter
5223/11,Textile machine technicians,Textile fitter
5322/03,Tilers,Tile fitter
5222/01,Tool fitters,Edge tool fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Machine tool fitter
5222/01,Tool fitters,Press tool fitter
5222/01,Tool fitters,Tool fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Torpedo fitter
8145/99,"Tyre, exhaust and windscreen fitters n.e.c.",Towbar fitter
5223/06,Heavy plant maintenance technicians,Tractor fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Trailer fitter
5241/03,Installation and maintenance electricians,Transformer fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Transport fitter
8119/04,Rubber workers,Tyre tread fitter
5223/07,Hydraulic technicians,Fork lift truck fitter
5231/01,Auto electricians,Truck fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Try-out fitter
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Tube fitter
5236/00,Rail and rolling stock builders and repairers,Tube fitter
5214/00,Pipe fitters,Tube fitter
5223/12,Turbine fitters,Turbine fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Turning fitter
8145/01,Tyre technicians,Tyre fitter
8145/01,Tyre technicians,Tyre and exhaust fitter
8149/00,Assemblers and routine operatives n.e.c.,Umbrella fitter
5411/99,Upholsterers n.e.c.,Upholsterer's fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Valve fitter
8149/00,Assemblers and routine operatives n.e.c.,Valve fitter
5231/02,Car/light vehicle technicians,Van fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Motor vehicle fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Vehicles fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Vehicles fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Ventilation fitter
5236/00,Rail and rolling stock builders and repairers,Wagon fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Water fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Weighbridge fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Wheel fitter
5317/03,Window fitters,Upvc window fitter
5317/03,Window fitters,Window fitter
5317/99,"Glaziers, window fabricators and fitters n.e.c.",Window and door fitter
8145/02,Windscreen fitters,Windscreen fitter
5234/00,Aircraft maintenance and related trades ,Fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Fitter
5241/03,Installation and maintenance electricians,Fitter
5317/03,Window fitters,Fitter
5241/03,Installation and maintenance electricians,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Fitter
8142/01,Metal goods assemblers (excludes vehicles),Fitter
5235/00,Boat and ship builders and repairers,Fitter
5442/01,Cabinet makers (excludes metal),Fitter
8149/00,Assemblers and routine operatives n.e.c.,Fitter
5413/03,Fitters and alterations assistants,Fitter
5241/03,Installation and maintenance electricians,Fitter
8145/01,Tyre technicians,Fitter
5449/99,Other skilled trades n.e.c.,Fitter
5412/01,Footwear makers and repairers,Fitter
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Fitter
5315/00,Plumbers and heating and ventilation installers and repairers,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5449/03,"Goldsmiths, silversmiths, jewellers and precious stone workers",Fitter
5412/02,Leather workers (excludes leather dressing),Fitter
8142/01,Metal goods assemblers (excludes vehicles),Fitter
5224/01,Calibration and precision instrument technicians,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter
5449/07,"Musical instrument repairers, makers and tuners",Fitter
8112/00,Textile process operatives,Fitter
5236/00,Rail and rolling stock builders and repairers,Fitter
5235/00,Boat and ship builders and repairers,Fitter
8159/02,Blind fitters,Fitter
8149/00,Assemblers and routine operatives n.e.c.,Fitter
8145/02,Windscreen fitters,Fitter
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter and assembler
5311/00,Steel erectors ,Fitter and erector
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter and erector
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter and examiner
5222/01,Tool fitters,Fitter and marker-off
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter and tester
5413/03,Fitters and alterations assistants,Fitter and trimmer
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter and turner
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-assembler
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-driver
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-engineer
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-erector
5250/00,"Skilled metal, electrical and electronic trades supervisors",Fitter-in-charge
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-inspector
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-machinist
5231/99,"Vehicle technicians, mechanics and electricians n.e.c.",Fitter-mechanic
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-mechanic
5223/99,Metal working production and maintenance fitters n.e.c.,Capstan fitter-operator
5223/99,Metal working production and maintenance fitters n.e.c.,Machine tool fitter-operator
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-tester
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-turner
8149/00,Assemblers and routine operatives n.e.c.,Picture frame fitter-up
5413/03,Fitters and alterations assistants,Fitter-up
5412/01,Footwear makers and repairers,Fitter-up
5223/99,Metal working production and maintenance fitters n.e.c.,Fitter-up
5442/99,Furniture makers and other craft woodworkers n.e.c.,Fitter-up
5449/07,"Musical instrument repairers, makers and tuners",Fitter-up
5214/00,Pipe fitters,Pipe fitter-welder
5315/00,Plumbers and heating and ventilation installers and repairers,Fitter-welder
5213/99,Welding trades n.e.c.,Fitter-welder
9249/99,Elementary sales occupations n.e.c.,Advertisement fixer
5315/00,Plumbers and heating and ventilation installers and repairers,Appliances fixer
5314/99,"Roofers, roof tilers and slaters n.e.c. ",Asbestos fixer
8159/02,Blind fitters,Blind fixer
8159/99,Construction operatives n.e.c.,Plaster board fixer
5313/00,Bricklayers,Boiler fixer
8141/00,Assemblers (electrical and electronic products),Cap fixer
5322/01,Carpet and linoleum fitters,Carpet fixer
8159/05,Ceiling fitters,Ceiling fixer
5321/01,Dry liners,Dryliner fixer
5322/03,Tilers,Faience and mosaic fixer
5314/01,Felt and flat roofers,Felt fixer
5321/02,Plasterers (wall and decorative),Fibrous fixer
5319/99,Construction and building trades n.e.c.,Fireplace fixer
8159/99,Construction operatives n.e.c.,Metal frame fixer
8132/01,Coal miners and quarry workers,Girder fixer
5317/01,Glass cutters and glaziers,Patent glazing fixer
5319/99,Construction and building trades n.e.c.,Grate fixer
9129/05,Insulation labourers,Insulation fixer
9129/99,Elementary construction occupations n.e.c.,Metal lath fixer
5449/99,Other skilled trades n.e.c.,Lens fixer
5317/01,Glass cutters and glaziers,Lead light fixer
5312/03,Stonemasons ,Marble fixer
5312/03,Stonemasons ,Stone mason's fixer
5241/03,Installation and maintenance electricians,Meter fixer
5315/00,Plumbers and heating and ventilation installers and repairers,Meter fixer
5315/00,Plumbers and heating and ventilation installers and repairers,Meter fixer
5322/03,Tilers,Mosaic fixer
5241/02,Electro-mechanical technicians,Motor fixer
5223/99,Metal working production and maintenance fitters n.e.c.,Motor fixer
8112/00,Textile process operatives,Net fixer
8142/02,Vehicle and vehicle part assemblers,Panel fixer
8112/00,Textile process operatives,Pattern fixer
3549/99,Business associate professionals n.e.c.,Price fixer
5313/00,Bricklayers,Range fixer
3549/99,Business associate professionals n.e.c.,Rate fixer
5319/99,Construction and building trades n.e.c.,Reinforcement fixer
5314/99,"Roofers, roof tilers and slaters n.e.c. ",Roof fixer
5314/99,"Roofers, roof tilers and slaters n.e.c. ",Roofing fixer
8151/02,Scaffolders and stagers,Scaffolding fixer
5212/99,"Metal plate workers, smiths, moulders and related occupations n.e.c.",Ship-door and collar fixer
5241/03,Installation and maintenance electricians,Sign fixer
8159/10,Sign fitters (excludes electrical fitters),Sign fixer
5319/06,Steel fixers and underpinners,Steel fixer
8131/00,Paper and wood machine operatives,Tape fixer
5322/03,Tilers,Terracotta fixer
5322/03,Tilers,Tile fixer
8149/00,Assemblers and routine operatives n.e.c.,Transfer fixer
5413/99,Tailors and dressmakers n.e.c.,Trimmer fixer
5315/00,Plumbers and heating and ventilation installers and repairers,Ventilator fixer
5317/01,Glass cutters and glaziers,Vitrolite fixer
8159/02,Blind fitters,Curtain wall fixer
8145/02,Windscreen fitters,Window fixer
5317/01,Glass cutters and glaziers,Window fixer
5317/99,"Glaziers, window fabricators and fitters n.e.c.",Window and door fixer
5321/01,Dry liners,Fixer
5316/02,Carpenters,Fixer
5413/99,Tailors and dressmakers n.e.c.,Fixer
8112/00,Textile process operatives,Fixer
5236/00,Rail and rolling stock builders and repairers,Fixer
5319/06,Steel fixers and underpinners,Steel fixer and bender
5312/03,Stonemasons ,Fixer-mason
8112/00,Textile process operatives,Flagger
8152/00,Road construction operatives,Flagger
8234/01,Level crossing attendants,Flagman
8115/99,Metal making and treating process operatives n.e.c.,Flaker-on
5223/99,Metal working production and maintenance fitters n.e.c.,Beam flanger
5419/99,"Textiles, garments and related trades n.e.c.",Flanger
8120/99,Metal working machine operatives n.e.c.,Flanger
8120/99,Metal working machine operatives n.e.c.,Flanger
5441/99,"Glass and ceramics makers, decorators and finishers n.e.c.",Flasher
8232/00,Marine and waterways transport operatives,Flatman
8115/99,Metal making and treating process operatives n.e.c.,Patent flattener
8115/99,Metal making and treating process operatives n.e.c.,Sheet flattener
5441/04,"Glass makers, decorators and finishers",Flattener
8120/99,Metal working machine operatives n.e.c.,Flattener
8139/99,Plant and machine operatives n.e.c.,Flattener
8149/00,Assemblers and routine operatives n.e.c.,Cellulose flatter
5449/03,"Goldsmiths, silversmiths, jewellers and precious stone workers",Gold flatter
8149/00,Assemblers and routine operatives n.e.c.,Paint flatter
5449/03,"Goldsmiths, silversmiths, jewellers and precious stone workers",Silver flatter
5441/04,"Glass makers, decorators and finishers",Flatter
8149/00,Assemblers and routine operatives n.e.c.,Flatter
8149/00,Assemblers and routine operatives n.e.c.,Flatter and polisher
3415/03,Instrumentalists ,Flautist
2111/99,Chemical scientists n.e.c. ,Flavourist
8113/00,Chemical and related process operatives,Flesher
1161/02,Royal Air Force officers,Flight-lieutenant
3311/02,Non-commissioned Royal Air Force officers and other ranks,Flight-sergeant
8119/99,Process operatives n.e.c.,Bead flipper
8139/99,Plant and machine operatives n.e.c.,Flitter
8120/99,Metal working machine operatives n.e.c.,Tube floater
9139/00,Elementary process plant occupations n.e.c.,Floater
8120/99,Metal working machine operatives n.e.c.,Floater
5322/02,Floor layers,Floorer
5443/00,Florists,Artificial florist
5443/00,Florists,Florist
9131/00,Industrial cleaning process occupations,Fluffer
8113/00,Chemical and related process operatives,Fluffer
8111/99,"Food, drink and tobacco process operatives n.e.c.",Starch flusher
8131/00,Paper and wood machine operatives,Flusher
8134/02,Water treatment operatives,Sewer flusher and cleanser
8120/99,Metal working machine operatives n.e.c.,Drill fluter
8120/99,Metal working machine operatives n.e.c.,Fluter
5449/03,"Goldsmiths, silversmiths, jewellers and precious stone workers",Fluter
9139/00,Elementary process plant occupations n.e.c.,Flyman
8119/99,Process operatives n.e.c.,Foiler
9132/00,"Packers, bottlers, canners and fillers",Foiler
5423/00,Print finishing and binding workers,Book folder
8149/00,Assemblers and routine operatives n.e.c.,Box folder
8120/99,Metal working machine operatives n.e.c.,Box folder
8112/00,Textile process operatives,Cloth folder
9132/00,"Packers, bottlers, canners and fillers",Curtain folder
8131/00,Paper and wood machine operatives,Envelope folder
9132/00,"Packers, bottlers, canners and fillers",Handkerchief folder
8131/00,Paper and wood machine operatives,Map folder
9132/00,"Packers, bottlers, canners and fillers",Net folder
8131/00,Paper and wood machine operatives,Paper folder
8149/00,Assemblers and routine operatives n.e.c.,Paper pattern folder
8112/00,Textile process operatives,Towel folder
5423/00,Print finishing and binding workers,Folder
9132/00,"Packers, bottlers, canners and fillers",Folder
8120/99,Metal working machine operatives n.e.c.,Folder
5412/01,Footwear makers and repairers,Folder
9132/00,"Packers, bottlers, canners and fillers",Folder
5423/00,Print finishing and binding workers,Folder
5423/00,Print finishing and binding workers,Folder
9132/00,"Packers, bottlers, canners and fillers",Folder
8112/00,Textile process operatives,Folder
8149/00,Assemblers and routine operatives n.e.c.,Folder-in
8112/00,Textile process operatives,Folder-up
9253/00,Delivery operatives   ,Crane follower
3431/00,Sports players,Footballer
5419/99,"Textiles, garments and related trades n.e.c.",Footer
6231/00,Housekeepers and related occupations,Footman
8119/04,Rubber workers,Rubber forcer
8114/99,Plastics process operatives n.e.c.,Forcer
8119/04,Rubber workers,Forcer
2433/02,Economists,Economic forecaster
3549/99,Business associate professionals n.e.c.,Network forecaster
3553/00,Merchandisers,Sales forecaster
2114/04,Meteorologists ,Forecaster
8112/00,Textile process operatives,Forehand
8115/99,Metal making and treating process operatives n.e.c.,Forehand
5431/02,Slaughterers,Abattoir foreman
8160/00,"Production, factory and assembly supervisors",Assembling foreman
}}}}/}},}}}}/}},Assistant foreman
5432/01,Bakers (excludes food process bakery workers and textile manufacturing),Bakery foreman
8239/00,Other drivers and transport operatives n.e.c.,Bank foreman
5441/99,"Glass and ceramics makers, decorators and finishers n.e.c.",Batch foreman
9269/99,Other elementary service occupations n.e.c.,Baths foreman
8160/00,"Production, factory and assembly supervisors",Battery foreman
9251/00,Elementary storage supervisors,Loading bay foreman
9139/00,Elementary process plant occupations n.e.c.,Belt foreman
8160/00,"Production, factory and assembly supervisors",Blowing foreman
5250/00,"Skilled metal, electrical and electronic trades supervisors",Bodyshop foreman
8133/01,Boiler operatives,Boiler foreman
9132/00,"Packers, bottlers, canners and fillers",Bottling foreman
8160/00,"Production, factory and assembly supervisors",Brewer foreman
5330/99,Construction and building trade supervisors n.e.c.,Bridge foreman
5330/99,Construction and building trade supervisors n.e.c.,Builder's foreman
5250/00,"Skilled metal, electrical and electronic trades supervisors",Coach building foreman
5330/99,Construction and building trade supervisors n.e.c.,Building foreman
5250/00,"Skilled metal, electrical and electronic trades supervisors",Cable foreman
8160/00,"Production, factory and assembly supervisors",Calender foreman
8234/03,Shunters (excludes passenger road transport),Capstan foreman
8160/00,"Production, factory and assembly supervisors",Carbonising foreman
8160/00,"Production, factory and assembly supervisors",Card foreman
8160/00,"Production, factory and assembly supervisors",Carding foreman
5330/01,Carpenter and joinery supervisors,Carpenter foreman
5330/01,Carpenter and joinery supervisors,Carpentry foreman
8239/00,Other drivers and transport operatives n.e.c.,Cartage foreman
8160/00,"Production, factory and assembly supervisors",Checking foreman
8160/00,"Production, factory and assembly supervisors",Chemical foreman
5330/99,Construction and building trade supervisors n.e.c.,Civilian foreman
8132/01,Coal miners and quarry workers,Coal foreman
8160/00,"Production, factory and assembly supervisors",Colour foreman
8160/00,"Production, factory and assembly supervisors",Comber foreman
8160/00,"Production, factory and assembly supervisors",Combing foreman
5330/99,Construction and building trade supervisors n.e.c.,Concrete foreman
5330/99,Construction and building trade supervisors n.e.c.,Construction foreman
5330/99,Construction and building trade supervisors n.e.c.,Contractor's foreman
8160/00,"Production, factory and assembly supervisors",Cupola foreman
7132/00,Sales supervisors - retail and wholesale ,Dairy foreman
